TRI. STA.,,CUT,AGDANGAN,QUEZON,REGION IV-A,13-52-46.100,121-52-54.860,,,,,,,"TO STATIONS = ANT, HILL"
P,73,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1556901.451,616336.756,,,
P,74,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1556814.14,616287.519,,,
P,75,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1556709.105,616265.879,,,
P,76,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1556565.649,616266.819,,,
P,77,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1556406.24,616183.121,,,
P,78,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1556281.487,616104.243,,,
P,79,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1556051.919,616071.957,,,
P,80,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1555926.673,616218.793,,,
P,81,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1556051.327,616071.963,,,
P,82,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1556184.682,615804.429,,,
P,83,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1556219.18,615624.113,,,
P,84,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1556442.098,615226.532,,,
P,85,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1556488.493,615015.11,,,
P,86,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1556601.38,614690.049,,,
P,87,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1556597.137,614556.04,,,
P,88,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1556752.315,614336.386,,,
P,89,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1557496.692,613671.812,,,
P,90,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1557621.842,613562.875,,,
P,91,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1557724.15,613190.997,,,
P,92,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1557962.166,612895.475,,,
P,93,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1558281.284,612481.047,,,
P,94,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1558627.958,612245.67,,,
P,95,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1558861.375,612101.999,,,
P,96,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1558965.089,611983.283,,,
P,97,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1559011.667,611858.623,,,
P,98,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1559097.288,611367.836,,,
P,99,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1559150.884,611143.732,,,
P,100,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1559267.725,611027.471,,,
P,101,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1559403.287,610748.748,,,
P,102,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1559283.096,610562.099,,,
P,103,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1559164.368,610266.754,,,
P,104,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1559238.055,610154.844,,,
P,105,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1559378.076,609998.122,,,
P,106,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1559650.235,609557.864,,,
P,107,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1559571.222,609380.507,,,
P,108,CAD 872-D,ALABAT,QUEZON,REGION IV-A,,,,,1559518.542,609300.632,,,
TRI. STA.,,"AL, C. & G.S.",ALABAT,QUEZON,REGION IV-A,14-06-44.624,121-58-02.972,,,,,,,"LUZON DATUM, NO DATA"
TRI. STA.,,ALABAT CH. CROSS,ALABAT,QUEZON,REGION IV-A,,,20041.05,19983.11,,,,,
TRI. STA.,,POINT 1907,ALABAT,QUEZON,REGION IV-A,,,13954,137189.34,,,,,
TRI. STA.,,POINT-1907,ALABAT,QUEZON,REGION IV-A,14-02-49.067,122-10-12.008,13954,37189.34,1553693.661,629976.319,,,LUZON DATUM
TRI. STA.,,"PORT ALABAT, TRIBUNAL S. GABLE C. & G.S.",ALABAT,QUEZON,REGION IV-A,14-06-10.036,122-00-39.494,,,,,,,"LUZON DATUM, NO DATA"
TRI. STA.,,AL,ALABAT(LUZON DATUM),QUEZON,REGION IV-A,14-06-44.624,121-59-02.972,,,,,,,"TO STATIONS = STA # AZIMUTH, ART, LAP, MUEL, HILL"
TRI. STA.,,CLIFF,ALABAT(LUZON DATUM),QUEZON,REGION IV-A,14-07-52.333,122-03-38.491,,,,,,,"TO STATIONS = HUTCH, HUNT"
TRI. STA.,,HAT,ALABAT(LUZON DATUM),QUEZON,REGION IV-A,14-07-37.715,121-58-08.974,,,,,,,"TO STATIONS = UP, ART, ALABAT"
TRI. STA.,,MUEL,ALABAT(LUZON DATUM),QUEZON,REGION IV-A,14-03-53.496,122-03-19.871,,,,,,,"TO STATIONS = UP, AL"
TRI. STA.,,MUEL,ALABAT(LUZON DATUM),QUEZON,REGION IV-A,14-04-06.301,122-03-27.811,,,,,,,"TO STATIONS = UP, AL, COCO, ART"
TRI. STA.,,POINT 1907,ALABAT(LUZON DATUM),QUEZON,REGION IV-A,14-02-49.067,122-10-12.008,,,,,,,"TO STATIONS = GRANT, APEX"
TRI. STA.,,PORT ALABAT TRIBUNAL S. GABLE,ALABAT(LUZON DATUM),QUEZON,REGION IV-A,14-06-10.036,122-00-39.494,,,,,,,"TO STATIONS = UP, ART,"
BBM,1,CAD 199,ATIMONAN,QUEZON,REGION IV-A,14-03-22.35,121-50-43.16,25863.72,11933.74,1554554.472,591300.564,,,
BBM,2,CAD 199,ATIMONAN,QUEZON,REGION IV-A,14-03-39.44,121-51-09.34,26419.87,12719.42,1555113.566,592084.056,,,
BBM,3,CAD 199,ATIMONAN,QUEZON,REGION IV-A,14-03-46.89,121-51-23.48,26617.97,13143.75,1555313.026,592507.884,,,
BBM,4,CAD 199,ATIMONAN,QUEZON,REGION IV-A,14-01-19.73,121-52-01.40,22095.62,14281.14,150794.505,593662.212,,,
BBM,5,CAD 199,ATIMONAN,QUEZON,REGION IV-A,14-02-13.84,121-52-45.65,23758.3,15608.88,1552462.379,594983.903,,,
BBM,6,CAD 199,ATIMONAN,QUEZON,REGION IV-A,14-02-24.31,121-53-00.32,24080.07,16049.02,1552785.797,595422.897,,,
BBM,7,CAD 199,ATIMONAN,QUEZON,REGION IV-A,14-01-09.25,121-52-30.00,21773.5,15139.16,1550475.584,594521.648,,,
BBM,8,CAD 199,ATIMONAN,QUEZON,REGION IV-A,14-01-09.88,121-53-04.67,21792.96,16179.72,1550498.817,595561.987,,,
BBM,9,CAD 199,ATIMONAN,QUEZON,REGION IV-A,14-01-02.25,121-53-16.50,21558.26,16534.66,1550265.653,595917.874,,,
BBM,10,CAD 199,ATIMONAN,QUEZON,REGION IV-A,14-00-59.00,121-53-31.28,21458.43,16978.33,1550167.439,596361.788,,,
BBM,11,CAD 199,ATIMONAN,QUEZON,REGION IV-A,14-01-23.212,121-53-48.90,22202.71,17506.87,1550913.551,596887.732,,,
BBM,12,CAD 199,ATIMONAN,QUEZON,REGION IV-A,14-00-53.90,121-53-10.46,21301.66,16353.48,1550008.351,595737.579,,,
BBM,13,CAD 199,ATIMONAN,QUEZON,REGION IV-A,14-00-40.50,121-53-45.84,20890.12,17415,1549600.526,596800.879,,,
BBM,14,CAD 199,ATIMONAN,QUEZON,REGION IV-A,14-00-16.80,121-54-38.74,20161.77,19002.36,1548878.207,598391.221,,,
BBM,15,CAD 199,ATIMONAN,QUEZON,REGION IV-A,14-00-06.21,121-54-51.34,19836.33,19390.67,1548554.199,598770.618,,,
BBM,16,CAD 199,ATIMONAN,QUEZON,REGION IV-A,14-00-59.63,121-52-30.52,21477.92,15155.03,1550179.989,594538.346,,,
BBM,17,CAD 199,ATIMONAN,QUEZON,REGION IV-A,14-00-53.74,121-52-57.36,21296.99,15780.31,1550001.293,595164.414,,,
BBM,18,CAD 199,ATIMONAN,QUEZON,REGION IV-A,14-00-26.16,121-52-41.94,20449.16,15467.35,1549152.624,594884.871,,,
BBM,19,CAD 199,ATIMONAN,QUEZON,REGION IV-A,13-59-59.70,121-53-18.99,19636.16,16609.04,1548343.575,595999.814,,,
BBM,20,CAD 199,ATIMONAN,QUEZON,REGION IV-A,14-00-09.60,121-53-44.03,19940.53,17360.53,1548650.665,596750.154,,,
BBM,21,CAD 199,ATIMONAN,QUEZON,REGION IV-A,14-00-13.52,121-51-47.24,20060.74,13855.84,1548758.121,593244.715,,,
BBM,22,CAD 199,ATIMONAN,QUEZON,REGION IV-A,14-00-40.35,121-51-01.96,20885.3,12496.8,1549577.765,591882.861,,,
BBM,23,CAD 199,ATIMONAN,QUEZON,REGION IV-A,14-01-00.14,121-50-21.78,21493.63,11291.22,1550181.662,590674.911,,,
BBM,24,CAD 199,ATIMONAN,QUEZON,REGION IV-A,14-00-36.26,121-50-30.43,20759.65,11550.65,1549448.684,590937.1,,,
BBM,25,CAD 199,ATIMONAN,QUEZON,REGION IV-A,14-00-22.24,121-50-33.76,20328.82,11650.66,1549018.167,591038.567,,,
BBM,26,CAD 199,ATIMONAN,QUEZON,REGION IV-A,14-02-00.49,121-50-07.61,23348.03,10866.33,1552034.881,590243.128,,,
BBM,27,CAD 199,ATIMONAN,QUEZON,REGION IV-A,14-02-01.66,121-48-07.52,23384.15,7262.66,1552058.351,586639.501,,,
BBM,28,CAD 199,ATIMONAN,QUEZON,REGION IV-A,14-00-04.54,121-49-33.72,19784.9,9848.76,1548467.847,589238.643,,,
BBM,29,CAD 199,ATIMONAN,QUEZON,REGION IV-A,14-00-22.68,121-49-42.36,20342.48,10108.25,1549026.244,589495.986,,,
BBM,30,CAD 199,ATIMONAN,QUEZON,REGION IV-A,14-00-11.15,121-50-06.12,19987.98,10821.28,1548674.401,590210.282,,,
BBM,31,CAD 199,ATIMONAN,QUEZON,REGION IV-A,14-00-08.49,121-50-44.04,19906.21,11959.05,1548596.69,591348.584,,,
BBM,32,CAD 199,ATIMONAN,QUEZON,REGION IV-A,13-59-58.29,121-50-52.88,19592.76,12224.3,1548284.164,591615.003,,,
BBM,33,CAD 199,ATIMONAN,QUEZON,REGION IV-A,13-59-53.09,121-50-56.63,19432.86,12337.01,1548124.757,591728.118,,,
BBM,34,CAD 199,ATIMONAN,QUEZON,REGION IV-A,13-59-46.98,121-51-06.58,19245.17,12635.65,1547938.052,592027.408,,,
BBM,35,CAD 199,ATIMONAN,QUEZON,REGION IV-A,13-59-11.70,121-53-31.46,18161.2,13382.22,1546856.491,592778.03,,,
BBM,36,CAD 199,ATIMONAN,QUEZON,REGION IV-A,13-59-29.82,121-52-09.27,18717.77,14516.76,1547417.509,593910.784,,,
BBM,37,CAD 199,ATIMONAN,QUEZON,REGION IV-A,14-00-15.17,121-51-57.67,19804.27,14168.74,1548502.643,593558.667,,,
