BLLM ,1,PLS 59,POLA,OCCIDENTAL MINDORO,REGION IV-B,13-09-29.106,121-38-34.61,30000.00,30000.00,,,,,
BLLM ,2,PLS 59,POLA,OCCIDENTAL MINDORO,REGION IV-B,,,30354.62,30693.25,,,,,
BLLM ,1,PLS 121,POLA,OCCIDENTAL MINDORO,REGION IV-B,13-04-31.783,121-20-29.304,20000.00,20000.00,,,,,
BLLM ,1,PLS 192,MANSALAY,OCCIDENTAL MINDORO,REGION IV-B,12-31-19.29,121-26-18.04,20000.00,20000.00,,,,,
BLLM ,1,PLS 318,SAN JOSE,OCCIDENTAL MINDORO,REGION IV-B,12-21-37.833,121-06-07.535,30000.00,30000.00,,,,,
BLLM ,1,PLS 33,SAN JOSE,OCCIDENTAL MINDORO,REGION IV-B,,,10000.00,10000.00,,,,,
BLLM ,1,PLS 395-D,BULALACAO,OCCIDENTAL MINDORO,REGION IV-B,12-19-34.77,120-20-27.95,20000.00,20000.00,,,,,
BLLM ,1,PLS 416-D,MANSALAY,OCCIDENTAL MINDORO,REGION IV-B,12-31-19.29,121-26-18.04,20000.00,20000.00,,,,,
BLLM ,2,PLS 416-D,MANSALAY,OCCIDENTAL MINDORO,REGION IV-B,,,20096.662,20139.737,,,,,
BLLM ,3,PLS 416-D,MANSALAY,OCCIDENTAL MINDORO,REGION IV-B,,,16128.640,18298.058,,,,,
BLLM ,4,PLS 416-D,MANSALAY,OCCIDENTAL MINDORO,REGION IV-B,,,16131.410,18146.296,,,,,
BLLM ,5,PLS 416-D,MANSALAY,OCCIDENTAL MINDORO,REGION IV-B,,,21692.240,17969.389,,,,,
BLLM ,6,PLS 416-D,MANSALAY,OCCIDENTAL MINDORO,REGION IV-B,,,21800.245,18096.597,,,,,
BLLM ,7,PLS 416-D,MANSALAY,OCCIDENTAL MINDORO,REGION IV-B,,,25929.338,20955.361,,,,,
BLLM ,8,PLS 416-D,MANSALAY,OCCIDENTAL MINDORO,REGION IV-B,,,26137.550,20880.080,,,,,
BLLM ,9,PLS 416-D,MANSALAY,OCCIDENTAL MINDORO,REGION IV-B,,,29619.486,20204.151,,,,,
BLLM ,10,PLS 416-D,MANSALAY,OCCIDENTAL MINDORO,REGION IV-B,,,29484.051,20233.558,,,,,
BLBM,1,PLS 416-D,MANSALAY,OCCIDENTAL MINDORO,REGION IV-B,,,23407.400,26880.174,,,,,
BLLM ,8,PLS 417-D,BULALACAO,OCCIDENTAL MINDORO,REGION IV-B,,,18695.52,24097.53,,,,,
BLLM ,1,PLS 503,NAUJAN,OCCIDENTAL MINDORO,REGION IV-B,,,34146.50,27528.96,,,,,
BLLM ,2,PLS 503,NAUJAN,OCCIDENTAL MINDORO,REGION IV-B,,,34060.09,27516.61,,,,,
BLLM ,1,PLS 429,VICTORIA,OCCIDENTAL MINDORO,REGION IV-B,13-19-31.08,121-18-06.11,20000.00,20000.00,,,,,
BLLM ,1,PLS 524-D,NAUJAN,OCCIDENTAL MINDORO,REGION IV-B,13-11-33.19,121-07-59.23,20000.00,20000.00,,,,,
BLLM ,2,PLS 524-D,NAUJAN,OCCIDENTAL MINDORO,REGION IV-B,,,20074.47,19644.33,,,,,
BLLM ,1,GSS 188,NAUJAN,OCCIDENTAL MINDORO,REGION IV-B,13-19-31.08,121-18-06.11,40000.00,40000.00,,,,,
BLLM ,266,GSS 251,POLA,OCCIDENTAL MINDORO,REGION IV-B,,,13788.70,39056.47,,,,,
BLLM ,267,GSS 251,POLA,OCCIDENTAL MINDORO,REGION IV-B,,,13679.93,39080.97,,,,,
